School,Treatment,Population,Individual,StartDate,StartDOY,ThirdDate,ThirdDOY,ThirdMass,FifthDate,FifthDOY,FifthMass,PupaDate,PupaDOY,PupaMass,AdultDate,AdultDOY,Sex,Death,Outcome,Survival,Notes
VCU,WIB,NC1,16,5/3/19,123,5/30/19,150,0.0256,6/19/19,170,0.2492,,,,,,U,7/24/19,N,F,natural causes
VCU,WIB,NC1,17,5/3/19,123,5/27/19,147,0.0312,6/15/19,166,0.2436,7/12/19,193,0.5660,8/7/19,219,M,,L,A,
VCU,WIB,NC1,18,5/3/19,123,5/29/19,149,0.0200,6/17/19,168,0.2275,,,,,,U,7/17/19,N,F,natural causes
VCU,WIB,NC1,19,5/3/19,123,,,,,,,,,,,,U,5/29/19,N,L,natural causes
VCU,WIB,NC1,20,5/3/19,123,5/28/19,148,0.0246,6/17/19,168,0.2615,7/16/19,197,0.5309,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,NC1,21,5/3/19,123,5/30/19,150,0.0257,6/17/19,168,0.2327,7/30/19,211,2.5688,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,NC1,22,5/3/19,123,5/29/19,149,0.0364,6/14/19,165,0.2963,,,,,,U,7/23/19,N,F,moldy
VCU,WIB,NC1,23,5/3/19,123,5/28/19,148,0.0254,6/19/19,170,0.3282,7/22/19,203,0.7515,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,NC1,24,5/3/19,123,5/28/19,148,0.0255,6/18/19,169,0.2189,,,,,,U,9/30/19,N,F,deformed pupa; did not emerge
VCU,WIB,NC1,25,5/3/19,123,5/28/19,148,0.0228,6/13/19,164,0.2781,7/22/19,203,2.8132,8/18/19,230,F,,L,A,
VCU,WIB,NC2,1,5/3/19,123,5/28/19,148,0.0371,6/16/19,167,0.2811,,,,,,U,7/23/19,N,F,moldy
VCU,WIB,NC2,2,5/3/19,123,5/28/19,148,0.0260,6/13/19,164,0.2887,,,,,,U,7/23/19,N,F,moldy
VCU,WIB,NC2,3,5/3/19,123,5/30/19,150,0.0300,6/16/19,167,0.2435,7/8/19,189,0.5892,8/3/19,215,M,,L,A,pupa weighed 7/9
VCU,WIB,NC2,4,5/3/19,123,5/31/19,151,0.0341,6/19/19,170,0.2712,,,,,,U,7/17/19,N,F,slime
VCU,WIB,NC2,5,5/3/19,123,5/27/19,147,0.0298,6/14/19,165,0.3380,7/23/19,204,3.3665,8/23/19,235,F,,L,A,
VCU,WIB,NC2,6,5/3/19,123,5/29/19,149,0.0319,6/19/19,170,0.2920,,,,,,U,8/7/19,N,F,natural causes
VCU,WIB,NC2,7,5/3/19,123,5/28/19,148,0.0246,6/13/19,164,0.2126,,,,,,U,7/23/19,N,F,natural causes
VCU,WIB,NC2,8,5/3/19,123,5/27/19,147,0.0354,6/16/19,167,0.2110,7/23/19,204,2.3833,8/21/19,233,F,,L,A,attached to molt
VCU,WIB,NC2,9,5/3/19,123,5/29/19,149,0.0306,6/15/19,166,0.2540,,,,,,U,8/2/19,N,F,natural causes
VCU,WIB,NC2,10,5/3/19,123,5/30/19,150,0.0356,6/16/19,167,0.2675,7/22/19,203,2.7986,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,NC2,11,5/3/19,123,5/27/19,147,0.0274,6/11/19,162,0.2672,7/22/19,203,3.1351,8/19/19,231,F,,L,A,
VCU,WIB,NC2,12,5/3/19,123,5/28/19,148,0.0163,6/20/19,171,0.1412,7/31/19,212,1.5841,8/29/19,241,F,,L,A,
VCU,WIB,NC2,13,5/3/19,123,,,,,,,,,,,,U,5/8/19,N,L,dead/natural causes
VCU,WIB,NC2,14,5/3/19,123,5/30/19,150,0.0214,6/14/19,165,0.1138,7/26/19,207,0.6654,8/29/19,241,M,,L,A,
VCU,WIB,NC2,15,5/3/19,123,5/27/19,147,0.0178,6/14/19,165,0.2377,,,,,,U,7/23/19,N,F,moldy
VCU,WIB,NC2,16,5/3/19,123,5/27/19,147,0.0145,6/18/19,169,0.2492,,,,,,U,8/27/19,N,F,natural causes
VCU,WIB,NC2,17,5/3/19,123,5/29/19,149,0.0383,6/16/19,167,0.3328,7/14/19,195,0.9237,8/7/19,219,M,,L,A,pupa attached to molt
VCU,WIB,NC2,18,5/3/19,123,5/29/19,149,0.0246,6/14/19,165,0.3015,7/31/19,212,2.4123,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,NC2,19,5/3/19,123,5/27/19,147,0.0201,6/15/19,166,0.2478,,,,,,U,NA,N,F,no death notes
VCU,WIB,NC2,20,5/3/19,123,6/4/19,155,0.0191,6/25/19,176,0.2516,7/25/19,206,0.5874,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,NC2,21,5/3/19,123,,,,,,,,,,,,U,NA,N,L,missed death
VCU,WIB,NC2,22,5/3/19,123,5/29/19,149,0.0293,6/15/19,166,0.3102,7/29/19,210,2.1318,8/27/19,239,F,,L,A,
VCU,WIB,NC2,23,5/3/19,123,5/29/19,149,0.0406,6/15/19,166,0.3061,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,NC2,24,5/3/19,123,5/27/19,147,0.0289,6/14/19,165,0.4701,7/22/20,204,2.8037,,,FP,8/21/19,N,P,dropped on accident
VCU,WIB,NC2,25,5/3/19,123,5/27/19,147,0.0375,6/13/19,164,0.3365,7/23/19,204,2.6563,8/20/19,232,F,,L,A,
VCU,WIB,WI1,1,5/3/19,123,5/29/19,149,0.0273,6/16/19,167,0.2079,8/13/19,225,2.0120,,,FP,9/30/19,N,P,pupa was cracked; did not emerge
VCU,WIB,WI1,2,5/3/19,123,,,,,,,,,,,,U,5/8/19,N,L,dead/natural causes
VCU,WIB,WI1,3,5/3/19,123,6/3/19,154,0.0202,6/20/19,171,0.2083,8/8/19,220,2.0630,9/10/19,253,F,,L,A,
VCU,WIB,WI1,4,5/3/19,123,5/29/19,149,0.0251,6/18/19,169,0.2217,7/15/19,196,0.5232,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,WI1,5,5/3/19,123,5/30/19,150,0.0304,6/21/19,172,0.2557,7/23/19,204,0.5953,8/26/19,238,M,,L,A,
VCU,WIB,WI1,6,5/3/19,123,6/6/19,157,0.0201,6/27/19,178,0.2909,7/23/19,204,0.7143,8/26/19,238,M,,L,A,
VCU,WIB,WI1,7,5/3/19,123,5/31/19,151,0.0177,6/20/19,171,0.2008,7/22/19,203,0.5165,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,WI1,8,5/3/19,123,5/31/19,151,0.0206,6/19/19,170,0.1988,,,,,,U,8/19/19,N,F,very moldy
VCU,WIB,WI1,9,5/3/19,123,5/31/19,151,0.0270,6/17/19,168,0.2725,,,,,,U,8/19/19,N,F,very moldy
VCU,WIB,WI1,10,5/3/19,123,6/1/19,152,0.0192,6/19/19,170,0.1048,7/31/19,212,0.5029,9/3/19,246,M,,L,A,
VCU,WIB,WI1,11,5/3/19,123,6/2/19,153,0.0184,6/25/19,176,0.1855,7/31/19,212,0.6822,,,M,9/18/19,N,A,was not able to successfully emerge
VCU,WIB,WI1,12,5/3/19,123,6/3/19,154,0.0364,6/21/19,172,0.1592,7/24/19,205,0.4353,8/26/19,238,M,,L,A,
VCU,WIB,WI1,13,5/3/19,123,6/1/19,152,0.0167,6/20/19,171,0.2128,,,,,,U,8/7/19,N,F,natural causes
VCU,WIB,WI1,14,5/3/19,123,,,,,,,,,,,,U,5/8/19,N,L,dead/natural causes
VCU,WIB,WI1,15,5/3/19,123,5/30/19,150,0.0195,6/23/19,174,0.2166,,,,,,U,7/20/19,N,F,died while pupating
VCU,WIB,WI1,16,5/3/19,123,6/4/19,155,0.0158,6/21/19,172,0.1775,8/12/19,224,2.0678,9/17/19,260,F,,L,A,
VCU,WIB,WI1,17,5/3/19,123,5/29/19,149,0.0249,6/20/19,171,0.2456,7/23/19,204,0.6581,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,WI1,18,5/3/19,123,5/28/19,148,0.0199,6/14/19,165,0.2204,7/31/19,212,2.1464,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,WI1,19,5/3/19,123,5/31/19,151,0.0213,6/19/19,170,0.2112,,,,,,U,8/7/19,N,F,natural causes
VCU,WIB,WI1,20,5/3/19,123,6/1/19,152,0.0200,6/22/19,173,0.2170,7/22/19,203,0.6424,8/23/19,235,M,,L,A,
VCU,WIB,WI1,21,5/3/19,123,6/3/19,154,0.0362,6/21/19,172,0.2106,,,,,,U,8/7/19,N,F,natural causes
VCU,WIB,WI1,22,5/3/19,123,6/1/19,152,0.0203,6/19/19,170,0.1728,8/12/19,224,1.6605,9/15/19,258,F,,L,A,
VCU,WIB,WI1,23,5/3/19,123,5/29/19,149,0.0288,6/16/19,167,0.2476,7/26/19,207,2.1777,8/21/19,233,F,,L,A,
VCU,WIB,WI1,24,5/3/19,123,5/31/19,151,0.0205,6/27/19,178,0.1680,8/1/19,213,0.4487,9/22/19,265,M,,L,A,
VCU,WIB,WI1,25,5/3/19,123,6/3/19,154,0.0244,6/18/19,169,0.1570,8/5/19,217,1.8647,9/1/19,244,F,,L,A,
VCU,WIB,WV1,1,5/3/19,123,5/31/19,151,0.0218,6/17/19,168,0.1907,,,,,,U,8/19/19,N,F,very moldy
VCU,WIB,WV1,2,5/3/19,123,5/27/19,147,0.0216,6/15/19,166,0.2176,8/1/19,213,1.7441,,,FP,,N,P,did not fully pupate; did not emerge
VCU,WIB,WV1,3,5/3/19,123,5/27/19,147,0.0253,6/15/19,166,0.2244,7/16/19,197,0.4764,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,WV1,4,5/3/19,123,5/27/19,147,0.0344,6/13/19,164,0.3191,7/23/19,204,2.7615,8/20/19,232,F,,L,A,
VCU,WIB,WV1,5,5/3/19,123,6/3/19,154,0.0362,6/20/19,171,0.2417,8/5/19,217,2.3742,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,WV1,6,5/3/19,123,5/27/19,147,0.0135,6/16/19,167,0.2383,8/2/19,214,1.3513,8/31/19,243,F,,L,A,
VCU,WIB,WV1,7,5/3/19,123,5/31/19,151,0.0327,6/19/19,170,0.2718,7/17/19,198,0.6631,,,MP,9/30/20,N,P,did not emerge
VCU,WIB,WV1,8,5/3/19,123,5/29/19,149,0.0253,6/18/19,169,0.2514,,,,,,U,8/1/19,N,F,died during pupation
VCU,WIB,WV1,9,5/3/19,123,5/27/19,147,0.0256,6/14/19,165,0.2900,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,WV1,10,5/3/19,123,5/27/19,147,0.0316,6/11/19,162,0.2231,,,,,,U,7/23/19,N,F,moldy and orange slime
VCU,WIB,WV1,11,5/3/19,123,5/28/19,148,0.0216,6/16/19,167,0.2888,,,,,,U,7/17/19,N,F,died during pupation
VCU,WIB,WV1,12,5/3/19,123,5/27/19,147,0.0233,6/13/19,164,0.2515,,,,,,U,7/23/19,N,F,natural causes
VCU,WIB,WV1,13,5/3/19,123,5/30/19,150,0.0217,6/16/19,167,0.2230,7/22/19,203,2.5165,,,FP,8/19/19,N,P,very moldy
VCU,WIB,WV1,14,5/3/19,123,6/3/19,154,0.0216,6/23/19,174,0.2008,,,,,,U,8/5/19,N,F,died pupating
VCU,WIB,WV1,15,5/3/19,123,6/1/19,152,0.0233,6/21/19,172,0.2660,,,,,,U,8/27/19,N,F,natural causes
VCU,WIB,WV1,16,5/3/19,123,5/28/19,148,0.0217,6/17/19,168,0.2484,,,,,,U,8/13/19,N,F,no death notes
VCU,WIB,WV1,17,5/3/19,123,5/31/19,151,0.0216,6/17/19,168,0.2662,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,WV1,18,5/3/19,123,5/31/19,151,0.0306,6/15/19,166,0.2347,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,WV1,19,5/3/19,123,5/28/19,148,0.0254,6/17/19,168,0.1940,7/14/19,195,0.5313,8/13/19,225,M,,L,A,
VCU,WIB,WV1,20,5/3/19,123,5/27/19,147,0.0244,6/17/19,168,0.2885,7/16/19,197,0.7618,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,WV1,21,5/3/19,123,5/29/19,149,0.0277,6/23/19,174,0.1953,7/26/19,207,0.5542,8/28/19,240,M,,L,A,
VCU,WIB,WV1,22,5/3/19,123,5/29/19,149,0.0240,6/24/19,175,0.2348,,,,,,U,8/7/19,N,F,natural causes
VCU,WIB,WV1,23,5/3/19,123,5/27/19,147,0.0322,6/17/19,168,0.2762,7/13/19,194,0.6005,8/12/19,224,M,,L,A,
VCU,WIB,WV1,24,5/3/19,123,5/27/19,147,0.0220,6/13/19,164,0.2815,,,,,,U,7/3/19,N,F,dead/natural
VCU,WIB,WV1,25,5/3/19,123,5/28/19,148,0.0260,6/14/19,165,0.1882,,,,,,U,8/14/19,N,F,natural causes
VCU,WI4.5,AL,1,5/2/19,122,5/24/19,144,0.0347,6/11/19,162,0.3241,,,,,,U,7/3/19,N,F,nat. causes
VCU,WI4.5,AL,2,5/2/19,122,5/25/19,145,0.0414,6/10/19,161,0.2863,,,,,,U,7/8/19,N,F,nat. causes
VCU,WI4.5,AL,3,5/2/19,122,5/27/19,147,0.0372,6/13/19,164,0.4095,,,,,,U,7/10/19,N,F,nat. causes
VCU,WI4.5,AL,4,5/2/19,122,5/22/19,142,0.0368,6/6/19,157,0.4328,6/25/19,176,0.6528,,,MP,8/6/19,N,P,did not emerge
VCU,WI4.5,AL,5,5/2/19,122,5/22/19,142,0.0321,6/8/19,159,0.3777,7/2/19,183,0.5523,,,MP,8/6/19,N,P,did not emerge
VCU,WI4.5,AL,6,5/2/19,122,,,,,,,,,,,,U,5/16/19,N,L,dead/natural causes
VCU,WI4.5,AL,7,5/2/19,122,5/24/19,144,0.0233,6/7/19,158,0.3149,,,,,,U,7/9/19,N,F,died while pupating
VCU,WI4.5,AL,8,5/2/19,122,5/28/19,148,0.0315,6/13/19,164,0.3949,6/30/19,181,0.6200,7/17/19,198,M,,L,A,
VCU,WI4.5,AL,9,5/2/19,122,5/22/19,142,0.0301,6/3/19,154,0.2870,,,,,,U,7/8/19,N,F,dead/natural causes
VCU,WI4.5,AL,10,5/2/19,122,5/22/19,142,0.0230,6/7/19,158,0.3367,,,,,,U,7/3/19,N,F,dead/natural causes
VCU,WI4.5,AL,11,5/2/19,122,5/23/19,143,0.0304,6/4/19,155,0.3135,,,,,,U,7/3/19,N,F,dead/natural causes
VCU,WI4.5,AL,12,5/2/19,122,5/26/19,146,0.0284,,,,,,,,,U,6/3/19,N,T,dead/natural causes
VCU,WI4.5,AL,13,5/2/19,122,5/23/19,143,0.0271,6/5/19,156,0.3256,7/7/19,188,1.0226,7/21/19,202,F,,L,A,
